"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3887","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","2636","@smoke valid login test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","2428","@smoke footers exist on product page","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3654","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","2910","@smoke home page title test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","2995","@smoke logout link exist test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","2715","@smoke comp logo exists on product page","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","3802","@smoke user is able to land on the product page test for iMac","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","2665","@smoke footers exist on product page","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","2600","@smoke comp logo exists on product page","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","2017","@smoke login page title test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
