"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3325","@smoke footers exist on product page","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","3827","@smoke logout link exist test","chromium","2026-09-11","passed","2026-09-11","","homepage.spec.ts","",""
"","3815","@smoke home page title test","chromium","2026-09-11","passed","2026-09-11","","homepage.spec.ts","",""
"","3389","@smoke footers exist on product page","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","2232","@smoke login page title test","chromium","2026-09-11","passed","2026-09-11","","loginpage.spec.ts","",""
"","5041","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","3342","@smoke valid login test","chromium","2026-09-11","passed","2026-09-11","","loginpage.spec.ts","",""
"","3308","@smoke comp logo exists on product page","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","4921","@smoke user is able to land on the product page test for iMac","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","3287","@smoke comp logo exists on product page","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","4869","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
