"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2142","@smoke login page title test","chromium","2026-07-01","passed","2026-07-01","","loginpage.spec.ts","",""
"","4310","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","4256","@smoke user is able to land on the product page test for iMac","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2999","@smoke footers exist on product page","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2918","@smoke comp logo exists on product page","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","3019","@smoke valid login test","chromium","2026-07-01","passed","2026-07-01","","loginpage.spec.ts","",""
"","2909","@smoke comp logo exists on product page","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","3130","@smoke logout link exist test","chromium","2026-07-01","passed","2026-07-01","","homepage.spec.ts","",""
"","4482","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","3236","@smoke home page title test","chromium","2026-07-01","passed","2026-07-01","","homepage.spec.ts","",""
"","2935","@smoke footers exist on product page","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
