"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3241","@smoke home page title test","chromium","2026-09-11","passed","2026-09-11","","homepage.spec.ts","",""
"","4310","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","4052","@smoke user is able to land on the product page test for iMac","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","2703","@smoke comp logo exists on product page","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","3633","@smoke logout link exist test","chromium","2026-09-11","passed","2026-09-11","","homepage.spec.ts","",""
"","2784","@smoke footers exist on product page","chromium","2026-09-11","passed","2026-09-11","","productpage.spec.ts","",""
"","2613","@smoke comp logo exists on product page","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","4060","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","1966","@smoke login page title test","chromium","2026-09-11","passed","2026-09-11","","loginpage.spec.ts","",""
"","2752","@smoke footers exist on product page","chromium","2026-09-11","passed","2026-09-11","","search.spec.ts","",""
"","2790","@smoke valid login test","chromium","2026-09-11","passed","2026-09-11","","loginpage.spec.ts","",""
