"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2378","@smoke login page title test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","3283","@smoke valid login test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","3188","@smoke logout link exist test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","3269","@smoke footers exist on product page","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","3270","@smoke footers exist on product page","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","4594","@smoke user is able to land on the product page test for iMac","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","4651","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3299","@smoke comp logo exists on product page","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","4737","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3277","@smoke comp logo exists on product page","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3362","@smoke home page title test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
